,scs,milk,fat,protein,lactose,ec,age,months_since_calving,month_sin,month_cos,scs_t-1,scs_t-2,milk_t-1,milk_t-2,fat_t-1,fat_t-2,protein_t-1,protein_t-2,lactose_t-1,lactose_t-2,ec_t-1,ec_t-2
scs,0.8446109648042591,0.003260131790100422,0.0034546699065551366,0.004081919546689278,0.002380252302019653,0.007478261168132303,0.005539948282763362,0.005943112247160752,0.002322330054152553,0.002837425815613824,0.06861479083306622,0.06233771031845099,0.003696286935461103,0.0044900408056477315,0.0023466318257389504,0.0019380910705709539,0.0030312970499442597,0.0021154841177620258,0.0026174877956669663,0.0014943590804385168,0.0025228069442367997,0.003443046546218102
milk,0.003260132654607878,0.09174154229664709,0.0021957017568071022,0.002366144978078955,0.0022421273014697363,0.00462109398426619,0.004340380018309224,0.010665118974505458,0.0018662416161823786,0.0021296595613363024,0.002394474941154476,0.0030134046929677426,0.009559199508735038,0.01683903522324108,0.0019088588414218975,0.0024540352344141867,0.002453685746905103,0.0025974493761124905,0.0021810223126391064,0.0015492072913000812,0.0027599347255760224,0.0064233915555902054
fat,0.0034546684134955283,0.002195701662423744,0.023097169541136827,0.0015724001642556686,0.0017761863271371111,0.0017468359778475132,0.0011639825279082289,0.0026808794521333765,0.0017572766815439535,0.0019730678207677556,0.0029389214705879568,0.001554741852747975,0.004515879468801723,0.0036570023705251517,0.0019622174330190317,0.003946521166768798,0.002245911368860834,0.0022791451420256636,0.0016580335926548286,0.0010182042095555517,0.003105188359733438,0.0018890589422087942
protein,0.004081918732443591,0.002366145075490931,0.0015724002866318188,0.02815156142556225,0.0013095705710475158,0.0015518174171731515,0.0014030825650552287,0.0020587518119151355,0.001019787387359247,0.0008061631315315026,0.001554243427606707,0.0021732841875345913,0.0036924545904199477,0.0015272654550764855,0.0009125213489283851,0.002368134971442487,0.0026094368391801253,0.003065557850980258,0.0012658841413776827,0.0009986019792409934,0.0014183581391400367,0.0017820598922175122
lactose,0.0023802510628913296,0.0022421272394443806,0.001776186321705609,0.0013095705123319932,0.03765893287681975,0.004004724830410851,0.004172822083282518,0.0018135522962504183,0.0008518645104613825,0.001187582034810839,0.0030750706454680766,0.001404323632415617,0.0017253689165940159,0.003335567476599681,0.0029855539239622884,0.0019024321964927367,0.0019529860990478484,0.0029695819125974596,0.0021471522752704916,0.003491088439759915,0.0014859218411547772,0.0033764394113823073
ec,0.007478260691009928,0.004621094239303784,0.0017468360256039886,0.001551817378641863,0.004004724862601143,0.06442120087916846,0.012291672654927243,0.0034514470430702204,0.002046979968388041,0.002173979290579882,0.002933048242852965,0.003289753218535043,0.00540663819979236,0.003334976355262916,0.0019409978557054274,0.003359262128816044,0.00482266437559374,0.003297761532172808,0.0019304377308762923,0.0014990919891111844,0.008018967497491394,0.005778726558957715
age,0.005539947167277569,0.0043403797797334845,0.0011639826901136984,0.0014030826438833173,0.00417282198121029,0.012291672487088363,0.12123904768209905,0.007567395629189559,0.0014891992433069391,0.0019080030251832796,0.005319430289397133,0.007159261472360959,0.004795250607853813,0.005453509532514726,0.0022764216858478905,0.0030656176349984888,0.002057348853192525,0.002153064030826499,0.0006257537872252215,0.005868520220267237,0.007971636990626576,0.012971643363092153
months_since_calving,0.005943115340278018,0.01066511936126335,0.0026808793192918527,0.002058751852120622,0.0018135523037362874,0.0034514469721732893,0.007567395633627893,0.15435792622901498,0.024623030388492045,0.01873194616341352,0.004177398227143567,0.003790072600205167,0.010758781688511954,0.0038083972530206667,0.002148689955705049,0.003039215248083201,0.00523671003516356,0.0032673450681781104,0.0014157226019779045,0.0010815956689129963,0.0021522701287598465,0.0029142249028824155
month_sin,0.0023223316366609652,0.001866241477082076,0.0017572767184392433,0.001019787385838572,0.0008518644947820576,0.002046979970922985,0.0014891991299620713,0.02462303018879611,0.050633974374528046,0.004187941270270676,0.00169834071009318,0.004675510275358102,0.0020209700697894732,0.0027173773678390717,0.0014283580244995391,0.0009642458107216953,0.004515174534701509,0.0015263492113626854,0.0005709345061567547,0.0006954176476058819,0.0011484156776517922,0.0015567108739051037
month_cos,0.002837427606905112,0.0021296596384338044,0.0019730678617983356,0.0008061631570686586,0.0011875820756999018,0.0021739793098691737,0.0019080030125682242,0.018731946397866704,0.004187940999097918,0.047037815773795594,0.001798511095986032,0.001414676462355419,0.0011426316884593688,0.001884274862460734,0.0019713689046642687,0.0014760101631349244,0.0014464005075024034,0.0009139678794857901,0.001957977414870402,0.0014774587401323515,0.0027317742851817456,0.002236073186275462
scs_t-1,0.06861478512003087,0.0023944756601034897,0.002938921259554627,0.0015542432171285327,0.003075070678306656,0.0029330482811259573,0.005319428109342698,0.004177399477837025,0.0016983410088636448,0.0017985102790127711,0.4959930774430744,0.037648444014549025,0.004089269817617605,0.003887598399820854,0.0015929238904460363,0.002877219626941223,0.0033322203271083707,0.0024941252325756066,0.0025082034476901754,0.0017738024516802398,0.0023021890530355448,0.0036068174390165952
scs_t-2,0.062337711816473164,0.0030134052549532497,0.0015547419018388609,0.0021732845385427934,0.001404322734462403,0.003289753480912623,0.007159261899371631,0.003790072658972349,0.004675510082545952,0.0014146763558856037,0.03764844262663974,0.4765573899071314,0.003002806019152922,0.005971321291170898,0.0009976830500527285,0.00268121964682432,0.0015724180026023531,0.0015493331981429946,0.002191852901639504,0.0011793350548930902,0.0018330291796119127,0.004246051479817834
milk_t-1,0.003696286300383508,0.00955920017628523,0.004515879529865924,0.003692454774337239,0.00172536891892305,0.005406638258531166,0.004795250378511264,0.010758781617364729,0.0020209700856299606,0.001142631713537412,0.0040892717867143805,0.003002806867210893,0.07952737230653292,0.004874937068660074,0.0016629158123892922,0.0024878277353385784,0.0045056173538687285,0.0026868100416279047,0.0016540021789416641,0.001327678807733173,0.0028495211401066626,0.0030694626680226066
milk_t-2,0.004490041516540805,0.016839035243418767,0.003657002311068209,0.0015272655427557766,0.003335567218826327,0.003334976324549643,0.005453509384510107,0.0038083973514556418,0.0027173771227318867,0.0018842749589472077,0.0038875966791951213,0.005971321907240781,0.004874936913250713,0.07649749220435624,0.0011741242379604956,0.002685486741978093,0.0016696442198342993,0.002236968343245826,0.0020781337496926424,0.001763364880514564,0.004022920949304534,0.005450855201928061
fat_t-1,0.002346629549365025,0.0019088588983780937,0.0019622173958014173,0.0009125214031868381,0.002985553935853204,0.001940997859222989,0.0022764215566276106,0.002148690016589535,0.0014283580216306292,0.0019713690492841125,0.0015929233434522757,0.0009976837872643955,0.0016629157706876867,0.001174124215892516,0.015926748699272866,0.0016427456262586928,0.00229808047019651,0.0016240036605100613,0.0012947593988057633,0.0009836581426638077,0.0017152008957840735,0.0024988034186462756
fat_t-2,0.0019380894850415642,0.0024540353365096962,0.003946521262023452,0.0023681349432044954,0.0019024322454304638,0.003359262239227246,0.0030656177766271867,0.003039215268785483,0.0009642459180897277,0.0014760101818254044,0.002877218999972683,0.00268121938102704,0.0024878275858136478,0.0026854867503774585,0.0016427456216661085,0.024419663313473575,0.0013343086850334657,0.0021252668452192668,0.002573698878468713,0.0019696597511352594,0.0017707882763214001,0.0023024534528682124
protein_t-1,0.003031295693028369,0.0024536859329775326,0.0022459114944507748,0.002609437041964702,0.001952986147624324,0.004822664385891403,0.0020573491611809,0.005236710476211738,0.004515174564345216,0.0014464006390451686,0.003332220315016457,0.0015724190154211102,0.004505617382818309,0.0016696442966669565,0.0022980804889939466,0.0013343085757827793,0.04203234131009085,0.002120477271068921,0.001914473357103998,0.0014795395660239592,0.0020052817164891166,0.001785095658024511
protein_t-2,0.0021154854875901946,0.0025974494033667726,0.00227914526657878,0.003065557882197754,0.0029695818697451615,0.0032977615408774,0.0021530640702898383,0.0032673452617091245,0.0015263491467732819,0.0009139678276791529,0.0024941253283017432,0.0015493333950114903,0.002686810016108211,0.00223696830002591,0.0016240036139541188,0.00212526678423892,0.002120477275385565,0.023888671711238568,0.004692972494296555,0.0021738540058946457,0.0022440249729435893,0.0017315556819710765
lactose_t-1,0.00261748766094388,0.0021810224579479837,0.0016580336286482634,0.0012658842161579742,0.0021471522556730633,0.0019304378352622735,0.0006257536424614955,0.001415722524357261,0.0005709345462615601,0.0019579773680627115,0.002508203808950202,0.0021918524484019143,0.0016540020651955275,0.0020781338712986324,0.0012947594154438776,0.00257369887677487,0.001914473385274323,0.004692972613560414,0.026311861019179924,0.004415263768369914,0.002373803990781016,0.002519930919348553
lactose_t-2,0.0014943611573660746,0.001549207215010756,0.0010182041621334065,0.00099860192265769,0.003491088376934931,0.0014990920611759066,0.00586852018191712,0.0010815955795536866,0.0006954176527709933,0.0014774587182491813,0.0017738040552678284,0.00117933353723638,0.0013276789110939716,0.0017633648999290017,0.000983658168194961,0.001969659734320885,0.0014795396040201013,0.0021738539708137977,0.004415263780582609,0.02860440473877534,0.0016994871794344362,0.0034844829976413165
ec_t-1,0.002522804793852265,0.00275993466910586,0.00310518835509356,0.001418358165135578,0.0014859218220271942,0.008018967362304102,0.007971636986162049,0.002152270023569872,0.0011484156934471685,0.002731774289619352,0.0023021904603054283,0.0018330301783622417,0.0028495209194312338,0.004022921044300892,0.0017152009663532225,0.0017707883977920575,0.0020052816360694122,0.002244025070304633,0.0023738039587577076,0.001699487276705986,0.04057357623185962,0.005017041719987537
ec_t-2,0.0034430450225860112,0.006423391512445233,0.001889058883364487,0.0017820600124279736,0.003376439154097898,0.005778726621695387,0.012971643164532724,0.002914224682380154,0.001556710909526737,0.00223607317098722,0.0036068175424792573,0.0042460500280314594,0.0030694627522170775,0.005450855559197953,0.0024988033622355943,0.002302453534998858,0.0017850956294678327,0.00173155569708033,0.002519930792335799,0.0034844830051613826,0.005017041726256138,0.0762561175617564
